Date,Open,High,Low,Close,Volume,Adj Close
2/7/1983,43.999999,44.625,41.499999,42.249999,35728000,0.641229
2/8/1983,42.249999,42.875,41.374999,41.875,42028000,0.635538
2/9/1983,41.875,42.500001,40.750001,42.249999,45203200,0.641229
2/10/1983,42.249999,45.250001,42.249999,44.999999,59180800,0.682966
2/11/1983,45.375,47.25,45.375,46.5,50887200,0.705731
2/14/1983,46.5,46.5,45.125001,46.25,31544800,0.701937
2/15/1983,46.25,46.624999,44.874999,45.375,28795200,0.688657
2/16/1983,45.375,45.375,44.250001,44.5,29142400,0.675377
2/17/1983,44.5,44.5,42.625001,43.999999,34042400,0.667789
2/18/1983,43.999999,45.874999,43.500001,45.375,28722400,0.688657
2/22/1983,45.625,47.750001,45.625,46.5,49196000,0.705731
2/23/1983,46.5,47.125,46.125001,46.875001,27008800,0.711423
2/24/1983,47.25,48.374999,47.25,48.125,28873600,0.730394
2/25/1983,48.125,48.625001,46.5,46.749999,28672000,0.709525
2/28/1983,46.749999,46.875001,45.5,45.625,33073600,0.692451
3/1/1983,45.625,46.624999,45.5,46.375,35067200,0.703834
3/2/1983,46.375,47.000001,46.25,46.749999,26488000,0.709525
3/3/1983,46.749999,47.25,45.125001,45.250001,32883200,0.68676
3/4/1983,45.250001,45.375,43.249999,44.625,37951200,0.677274
3/7/1983,44.625,44.75,42.500001,43.75,38169600,0.663994
3/8/1983,43.500001,43.500001,41.750001,42.374999,55160000,0.643126
3/9/1983,42.374999,43.625,41.625001,43.625,49834400,0.662097
3/10/1983,43.625,44.124999,42.625001,43,28151200,0.652612
3/11/1983,43,43.75,41.374999,42.374999,21940800,0.643126
3/14/1983,42.249999,42.249999,40.375,41.374999,42968800,0.627949
3/15/1983,41.374999,42,40.125,42,18765600,0.637435
3/16/1983,42,43.500001,41.750001,42,27742400,0.637435
3/17/1983,42,42.374999,41.875,42.374999,11037600,0.643126
3/18/1983,42.374999,43.500001,42.249999,43,21532000,0.652612
3/21/1983,43,44.124999,42.75,43.999999,26006400,0.667789
3/22/1983,43.999999,45.125001,43.999999,44.5,25250400,0.675377
3/23/1983,44.5,44.625,42.249999,42.374999,35190400,0.643126
3/24/1983,42.374999,43.625,42.249999,43.124999,25614400,0.654509
3/25/1983,43.124999,43.875,43,43.124999,14515200,0.654509
3/28/1983,43,43,41.750001,42.500001,18642400,0.645023
3/29/1983,42.625001,44.124999,42.625001,43.75,25933600,0.663994
3/30/1983,43.75,44.375001,43.75,44.250001,21952000,0.671583
3/31/1983,44.250001,44.5,42.249999,42.249999,21285600,0.641229
4/4/1983,42.249999,42.249999,40.125,41.125,31847200,0.624155
4/5/1983,41.125,42,40.375,40.375,30525600,0.612772
4/6/1983,40.375,40.499999,39.5,40.000001,53496800,0.607081
4/7/1983,40.000001,40.25,39.375,39.624999,36377600,0.601389
4/8/1983,39.624999,39.875001,38.625,39.375,37564800,0.597595
4/11/1983,39.375,41.875,38.749999,41.625001,57618400,0.631743
4/12/1983,41.625001,42.625001,41.625001,42.500001,43512000,0.645023
4/13/1983,42.500001,44.124999,42.500001,43.999999,47443200,0.667789
4/14/1983,43.999999,45.125001,43.625,44.999999,34092800,0.682966
4/15/1983,44.999999,46.125001,44.999999,45.749999,28750400,0.694348
4/18/1983,46.000001,47.875001,46.000001,47.000001,38892000,0.71332
4/19/1983,47.000001,47.375,46.25,46.5,58469600,0.705731
4/20/1983,46.5,50.999999,46.5,50.625,72083200,0.768336
4/21/1983,51.250001,52.749999,51.250001,51.999999,57512000,0.789205
4/22/1983,51.999999,52.5,50.75,50.999999,31796800,0.774028
4/25/1983,50.999999,51.375001,48.374999,48.625001,31427200,0.737982
4/26/1983,48.625001,50.625,48.499999,50,24858400,0.758851
4/27/1983,50,51.124999,49,49.500001,21509600,0.751262
4/28/1983,49.500001,50.249999,48.875,50,19852000,0.758851
4/29/1983,50,50.75,49.374999,50.500001,77078400,0.766439
5/2/1983,50.500001,50.75,48.374999,49,24270400,0.743674
5/3/1983,49,49.125,47.624999,48.499999,26499200,0.736085
5/4/1983,48.499999,51.5,48.499999,51.5,32278400,0.781616
5/5/1983,51.5,55,51.5,54.875001,35123200,0.832839
5/6/1983,54.875001,55.750001,53.749999,55.125,25037600,0.836633
5/9/1983,55.125,55.25,53.875001,54.375,17292800,0.82525
5/10/1983,54.375,55.374999,54.125,54.750001,12975200,0.830942
5/11/1983,54.750001,55,53.000001,53.375,13815200,0.810073
5/12/1983,53.375,53.375,52.375,52.874999,24606400,0.802485
5/13/1983,52.874999,53.624999,52.874999,53.125001,12241600,0.806279
5/16/1983,53.125001,53.125001,51.5,51.75,17298400,0.785411
5/17/1983,51.75,51.999999,51.124999,51.874999,38589600,0.787308
5/18/1983,51.874999,53.000001,51.874999,52.5,39250400,0.796793
5/19/1983,52.5,54.25,52.5,54.125,17572800,0.821456
5/20/1983,54.125,57.000003,53.375,56.875,36523200,0.863193
5/23/1983,56.875,57.500001,55.750001,57.500001,30436000,0.872678
5/24/1983,57.500001,60.500003,57.500001,60.500003,26924800,0.918209
5/25/1983,60.500003,61.000001,59.124998,59.999998,38432800,0.910621
5/26/1983,59.999998,60.375,58.874999,59.374997,26392800,0.901135
5/27/1983,59.374997,59.999998,59.124998,59.374997,14156800,0.901135
5/31/1983,59.250001,59.250001,56.625001,57.75,11384800,0.876473
6/1/1983,57.75,58.249998,57.250002,58.125002,24522400,0.882164
6/2/1983,58.125002,58.499997,57.75,58.499997,19857600,0.887855
6/3/1983,58.499997,61.625002,58.499997,61.375003,16133600,0.931489
6/6/1983,61.375003,62.750001,61.375003,62.750001,26023200,0.952358
6/7/1983,62.750001,63.249999,60.624999,60.624999,24544800,0.920107
6/8/1983,60.624999,60.874998,59.374997,59.875002,21011200,0.908724
6/9/1983,59.875002,60.500003,58.375001,59.5,13697600,0.903032
6/10/1983,59.5,59.875002,59.124998,59.250001,9357600,0.899238
6/13/1983,59.250001,59.374997,55,57.250002,44816800,0.868884
6/14/1983,57.250002,57.75,55.750001,56,42632800,0.849913
6/15/1983,55.875,55.875,53.25,54.375,48339200,0.82525
6/16/1983,54.624999,57.250002,54.624999,57.250002,30721600,0.868884
6/17/1983,57.250002,57.500001,56.125003,56.125003,14011200,0.85181
6/20/1983,56.125003,56.499998,52.874999,53.375,34893600,0.810073
6/21/1983,53.375,54.000001,52.375,53.749999,31365600,0.815765
6/22/1983,53.875001,55.625001,53.875001,55.374999,35240800,0.840427
6/23/1983,55.125,55.125,53.5,53.624999,33499200,0.813867
6/24/1983,53.624999,54.375,53.125001,53.25,11911200,0.808176
6/27/1983,53.25,53.25,50.375001,50.375001,30760800,0.764542
6/28/1983,50.375001,50.625,46.5,46.875001,87292800,0.711423
6/29/1983,46.875001,49.625001,45.749999,49.125,73595200,0.745571
